hf_town_hash,city,state_id,population,householdIncome,total_income
dpa,Carlisle,PA,58525.0,141726.0,8294514150.0
p1i,Pawtucket,RI,71939.0,115277.0,8292912103.0
vkw,Helena,MT,59319.0,139544.0,8277610536.0
zmk,Manhattan,KS,64397.0,128099.0,8249191303.0
u6z,Burlington,NC,81774.0,100674.0,8232515676.0
8bm,San Luis Obispo,CA,65036.0,126571.0,8231671556.0
hyr,Norcross,GA,79761.0,102864.0,8204535504.0
z9z,Hickory,NC,79732.0,102871.0,8202110572.0
myi,Mckeesport,PA,40052.0,204649.0,8196601748.0
nxt,Chicopee,MA,55191.0,148441.0,8192607231.0
jfp,Cartersville,GA,65317.0,125338.0,8186702146.0
36r,East Saint Louis,IL,54884.0,149048.0,8180350432.0
boq,Huntington Station,NY,66518.0,122944.0,8177988992.0
uyz,Hoboken,NJ,53283.0,153438.0,8175636954.0
10v,Blue Springs,MO,56596.0,144319.0,8167878124.0
1ru,Mandeville,LA,48520.0,167713.0,8137434760.0
epj,Sanford,NC,72408.0,112359.0,8135690472.0
3di,Northport,AL,40849.0,198843.0,8122537707.0
eaq,Bayside,NY,47423.0,170901.0,8104638123.0
tzl,Maricopa,AZ,58974.0,137364.0,8100904536.0
u0e,Harrisonburg,VA,74163.0,109213.0,8099563719.0
fem,Norwalk,CA,104524.0,77425.0,8092770700.0
kry,Ridgewood,NY,105025.0,77044.0,8091546100.0
whr,Caldwell,ID,71883.0,112414.0,8080655562.0
9o0,Corvallis,OR,69516.0,116066.0,8068444056.0
